---------------
WORDS: sport three terms 

and RESULT ITEMS:
SCORE: 8.151219 | ITEM NUMBER 258 | ITEM ID: 325926
SCORE: 8.151219 | ITEM NUMBER 259 | ITEM ID: 1629102
SCORE: 8.151219 | ITEM NUMBER 260 | ITEM ID: 1576305
SCORE: 8.151219 | ITEM NUMBER 261 | ITEM ID: 1397888
SCORE: 8.151219 | ITEM NUMBER 262 | ITEM ID: 1410786
SCORE: 8.151219 | ITEM NUMBER 263 | ITEM ID: 1769760
SCORE: 8.151219 | ITEM NUMBER 264 | ITEM ID: 1995422
SCORE: 8.151219 | ITEM NUMBER 265 | ITEM ID: 5240752
SCORE: 8.151219 | ITEM NUMBER 266 | ITEM ID: 5467490
SCORE: 8.138659 | ITEM NUMBER 267 | ITEM ID: 541216
SCORE: 8.138659 | ITEM NUMBER 268 | ITEM ID: 969937
SCORE: 8.138659 | ITEM NUMBER 269 | ITEM ID: 1264859
SCORE: 8.138659 | ITEM NUMBER 270 | ITEM ID: 1624069
SCORE: 8.138659 | ITEM NUMBER 271 | ITEM ID: 1356726
SCORE: 8.138659 | ITEM NUMBER 272 | ITEM ID: 5141
SCORE: 8.138659 | ITEM NUMBER 273 | ITEM ID: 1941819
SCORE: 8.127013 | ITEM NUMBER 274 | ITEM ID: 1059219
SCORE: 8.127013 | ITEM NUMBER 275 | ITEM ID: 1823760
SCORE: 8.127013 | ITEM NUMBER 276 | ITEM ID: 5131502
SCORE: 8.127013 | ITEM NUMBER 277 | ITEM ID: 5845689
SCORE: 8.037710 | ITEM NUMBER 278 | ITEM ID: 2031799
SCORE: 8.037710 | ITEM NUMBER 279 | ITEM ID: 2424664
SCORE: 8.026258 | ITEM NUMBER 280 | ITEM ID: 4217915
SCORE: 7.971021 | ITEM NUMBER 281 | ITEM ID: 2025333
SCORE: 7.925995 | ITEM NUMBER 282 | ITEM ID: 2311492
SCORE: 7.831420 | ITEM NUMBER 283 | ITEM ID: 2373715
SCORE: 7.773211 | ITEM NUMBER 284 | ITEM ID: 1965638
SCORE: 7.699584 | ITEM NUMBER 285 | ITEM ID: 1514627
SCORE: 7.651429 | ITEM NUMBER 286 | ITEM ID: 887610
SCORE: 7.600934 | ITEM NUMBER 287 | ITEM ID: 2444830
SCORE: 7.589786 | ITEM NUMBER 288 | ITEM ID: 2168060
SCORE: 7.589786 | ITEM NUMBER 289 | ITEM ID: 2335729
SCORE: 7.586751 | ITEM NUMBER 290 | ITEM ID: 615832
SCORE: 7.586751 | ITEM NUMBER 291 | ITEM ID: 919453
SCORE: 7.586751 | ITEM NUMBER 292 | ITEM ID: 1230431
SCORE: 7.586751 | ITEM NUMBER 293 | ITEM ID: 2355423
SCORE: 7.581669 | ITEM NUMBER 294 | ITEM ID: 2176056
SCORE: 7.577242 | ITEM NUMBER 295 | ITEM ID: 1139718
SCORE: 7.577242 | ITEM NUMBER 296 | ITEM ID: 254093
SCORE: 7.577242 | ITEM NUMBER 297 | ITEM ID: 1418034
SCORE: 7.577242 | ITEM NUMBER 298 | ITEM ID: 2320396
SCORE: 7.577242 | ITEM NUMBER 299 | ITEM ID: 2324183
SCORE: 7.577242 | ITEM NUMBER 300 | ITEM ID: 2403170
SCORE: 7.567455 | ITEM NUMBER 301 | ITEM ID: 690732
SCORE: 7.567455 | ITEM NUMBER 302 | ITEM ID: 1622856
SCORE: 7.567455 | ITEM NUMBER 303 | ITEM ID: 1931651
SCORE: 7.567455 | ITEM NUMBER 304 | ITEM ID: 2151863
SCORE: 7.567455 | ITEM NUMBER 305 | ITEM ID: 2023391
SCORE: 7.567455 | ITEM NUMBER 306 | ITEM ID: 2291110
SCORE: 7.479237 | ITEM NUMBER 307 | ITEM ID: 509429
SCORE: 7.479237 | ITEM NUMBER 308 | ITEM ID: 541871
SCORE: 7.479237 | ITEM NUMBER 309 | ITEM ID: 904460
SCORE: 7.479237 | ITEM NUMBER 310 | ITEM ID: 690071
SCORE: 7.479237 | ITEM NUMBER 311 | ITEM ID: 750466
SCORE: 7.479237 | ITEM NUMBER 312 | ITEM ID: 1254790
SCORE: 7.479237 | ITEM NUMBER 313 | ITEM ID: 1100054
SCORE: 7.479237 | ITEM NUMBER 314 | ITEM ID: 1128876
SCORE: 7.479237 | ITEM NUMBER 315 | ITEM ID: 986413
SCORE: 7.479237 | ITEM NUMBER 316 | ITEM ID: 964800
SCORE: 7.479237 | ITEM NUMBER 317 | ITEM ID: 990012
SCORE: 7.479237 | ITEM NUMBER 318 | ITEM ID: 365214
SCORE: 7.479237 | ITEM NUMBER 319 | ITEM ID: 311193
